feature,coef_0,coef_1,coef_2,sign_0,sign_1,sign_2
delta_obi5_5s,0.0001743046605031911,0.0001970253851634031,-0.0003713300456690238,1.0,1.0,-1.0
delta_obi5_15s,0.0001743046605031911,0.0001970253851634031,-0.0003713300456690238,1.0,1.0,-1.0
delta_obi5_30s,0.0001743046605031911,0.0001970253851634031,-0.0003713300456690238,1.0,1.0,-1.0
delta_microprice_edge_5s,-0.004233435610059534,0.004107182633316571,0.00012625297674394084,-1.0,1.0,1.0
delta_microprice_edge_15s,-0.004233435610059534,0.004107182633316571,0.00012625297674394084,-1.0,1.0,1.0
delta_microprice_edge_30s,-0.004233435610059534,0.004107182633316571,0.00012625297674394084,-1.0,1.0,1.0
obi5_mean_120s,-0.027749760775370266,-0.028810891627045178,0.05656065240241551,-1.0,-1.0,1.0
obi5_std_120s,0.04349794527463108,-0.0674344522969605,0.023936507022332767,1.0,-1.0,1.0
obi5_mean_300s,0.04073408934424407,0.01854407406511396,-0.05927816340935314,1.0,1.0,-1.0
obi5_std_300s,0.05446932230982392,-0.09913902022855264,0.04466969791872491,1.0,-1.0,1.0
ofi_proxy,-0.004031148693622611,0.001907795758004749,0.0021233529356218125,-1.0,1.0,1.0
ofi_proxy_120s,-0.035174632008125394,5.932844771292921e-05,0.035115303560411384,-1.0,1.0,1.0
ofi_proxy_300s,-0.02362166369097109,0.0017643579029207785,0.021857305788050712,-1.0,1.0,1.0
ofi_proxy_600s,0.010075793135043956,-0.0008160721008288881,-0.009259721034212147,1.0,-1.0,-1.0
normalized_ofi_120s,-0.003365211067482224,-0.000935888168173925,0.00430109923565566,-1.0,-1.0,1.0
normalized_ofi_300s,-0.023599142821096243,-0.019271560836540243,0.04287070365763511,-1.0,-1.0,1.0
normalized_ofi_600s,-0.0733945994555298,0.0004359487388480197,0.07295865071668121,-1.0,1.0,1.0
ask_distance_1_bps,0.01283075422312921,-0.05189517457033533,0.03906442034720786,1.0,-1.0,1.0
ask_distance_3_bps,-0.1596254907930212,0.06636887992682522,0.09325661086619996,-1.0,1.0,1.0
ask_distance_5_bps,-0.05502625063859008,0.043624890509493155,0.011401360129093327,-1.0,1.0,1.0
ask_distance_8_bps,0.01896508225345748,-0.02854897444128904,0.009583892187836323,1.0,-1.0,1.0
bid_distance_1_bps,0.01283075422312921,-0.05189517457033533,0.03906442034720786,1.0,-1.0,1.0
bid_distance_3_bps,0.07527182304816317,0.08434638816539906,-0.15961821121356104,1.0,1.0,-1.0
bid_distance_5_bps,0.03246087615149929,0.009891389173730749,-0.0423522653252309,1.0,1.0,-1.0
bid_distance_8_bps,0.014679635350371327,-0.04154239189779694,0.026862756547425853,1.0,-1.0,1.0
return_5s,0.007778802842478961,0.0003580735501747478,-0.008136876392655592,1.0,1.0,-1.0
return_15s,0.007778802842478961,0.0003580735501747478,-0.008136876392655592,1.0,1.0,-1.0
return_30s,0.007778802842478961,0.0003580735501747478,-0.008136876392655592,1.0,1.0,-1.0
return_60s,0.007778802842478961,0.0003580735501747478,-0.008136876392655592,1.0,1.0,-1.0
return_120s,-0.04215364087778111,0.012442488105755512,0.02971115277202419,-1.0,1.0,1.0
volatility_120s,0.05787936960535903,-0.11003479166288581,0.05215542205752757,1.0,-1.0,1.0
volatility_300s,-0.017438242179735615,0.00552529555306219,0.011912946626672832,-1.0,1.0,1.0
volatility_600s,0.11166721901830005,-0.1867151348766347,0.0750479158583369,1.0,-1.0,1.0
last_trade_edge_bps,-0.018165455788094906,0.024269317603562063,-0.0061038618154618165,-1.0,1.0,-1.0
log_last_trade_qty,-0.006043743559896329,0.007470834995042913,-0.001427091435148613,-1.0,1.0,-1.0
trade_sign,-0.11413771761998513,-0.013782338609500868,0.1279200562294838,-1.0,-1.0,1.0
trade_imbalance_120s,-0.014725201590127983,-0.0033567768118584313,0.018081978401984288,-1.0,-1.0,1.0
trade_imbalance_300s,-0.019646021964129325,0.014226714001506114,0.005419307962622842,-1.0,1.0,1.0
trade_intensity_120s,0.04346242901682351,-0.04916276886066767,0.005700339843862343,1.0,-1.0,1.0
trade_intensity_300s,0.025720592488768144,-0.13972246263926286,0.11400187015054601,1.0,-1.0,1.0
time_since_last_trade,-0.020508813859626492,0.023872524069242694,-0.0033637102096351636,-1.0,1.0,-1.0
hour_sin,-0.048657715814845626,0.06309838470491723,-0.014440668890069792,-1.0,1.0,-1.0
hour_cos,-0.03659095191915938,0.10576063801612112,-0.06916968609696174,-1.0,1.0,-1.0
dow_sin,-0.02249925462132331,-0.030840893130036635,0.05334014775136031,-1.0,-1.0,1.0
dow_cos,-0.028540149753409603,0.01794031242270176,0.01059983733070115,-1.0,1.0,1.0
