feature,mean_abs_shap,mean_abs_shap_DOWN,mean_abs_shap_STABLE,mean_abs_shap_UP
bid_range_8_bps,0.012948990799486637,0.02744467183947563,0.00442484999075532,0.006977448705583811
ask_distance_5_bps,0.012742660008370876,0.015043211169540882,0.0021841588895767927,0.021000608801841736
dow_sin,0.012316972017288208,0.005414975341409445,0.006473890505731106,0.02506205067038536
return_120s,0.012170585803687572,0.014644278213381767,0.006664424668997526,0.015203051269054413
ask_concentration,0.011358282528817654,0.005686657503247261,0.02404830977320671,0.004339880309998989
bid_concentration,0.010014393366873264,0.0037479654420167208,0.02059958316385746,0.005695629399269819
spread_mean_120s,0.009851283393800259,0.0047311726957559586,0.010194750502705574,0.014627926982939243
obi_8,0.009579436853528023,0.01018151082098484,0.001989830518141389,0.016566969454288483
log_ask_depth_5,0.009435765445232391,0.007350909523665905,0.012803574092686176,0.008152813650667667
log_bid_depth_3,0.00877776462584734,0.015580318868160248,0.00902108196169138,0.0017318945610895753
trade_intensity_120s,0.007856142707169056,0.003891042899340391,0.01798962987959385,0.0016877559246495366
obi5_std_120s,0.007665665354579687,0.003028204431757331,0.017683619633316994,0.002285171765834093
log_last_trade_qty,0.0071784816682338715,0.005702043883502483,0.005151406861841679,0.010681995190680027
delta_obi5_5s,0.007171003147959709,0.005045589990913868,0.012934527359902859,0.0035328923258930445
bid_distance_8_bps,0.006787968333810568,0.006076767574995756,0.010962293483316898,0.0033248437102884054
obi_2,0.006467518862336874,0.008012850768864155,0.004331219010055065,0.007058486342430115
log_bid_depth_5,0.006146575789898634,0.006171127315610647,0.009119168855249882,0.0031494316644966602
normalized_ofi_300s,0.00607122341170907,0.007748418487608433,0.006431981455534697,0.004033270291984081
ask_distance_8_bps,0.006066769361495972,0.005033941473811865,0.010884233750402927,0.0022821330931037664
dow_cos,0.005949340295046568,0.004129317589104176,0.012173373252153397,0.0015453308587893844
delta_microprice_edge_5s,0.005784492939710617,0.00411160197108984,0.0029386698734015226,0.01030320581048727
ask_range_8_bps,0.005754566285759211,0.002481555799022317,0.008304793387651443,0.006477349903434515
log_ask_depth_8,0.005416228901594877,0.00518340477719903,0.007501895073801279,0.0035633861552923918
trade_sign,0.005335573107004166,0.0013948550913482904,0.00015181633352767676,0.014460048638284206
ofi_proxy_120s,0.00495159812271595,0.007505098357796669,0.001512134331278503,0.005837561562657356
obi_5,0.004690830130130053,0.0019187305588275194,0.007493473589420319,0.004660286940634251
log_bid_depth_8,0.0046122209168970585,0.004764790181070566,0.006249839439988136,0.0028220342937856913
obi5_mean_300s,0.0035876519978046417,0.002907159272581339,0.0019307357724756002,0.005925061646848917
time_since_last_trade,0.0035592715721577406,0.003471564967185259,0.006412000861018896,0.0007942484226077795
obi_3,0.002541902009397745,0.002735525369644165,0.0019165454432368279,0.0029736352153122425
weighted_obi,0.0024140814784914255,0.001945860800333321,0.0024790028110146523,0.0028173814062029123
ask_distance_1_bps,0.0023312203120440245,0.0,0.0035034194588661194,0.0034902410116046667
obi5_mean_120s,0.0018931940430775285,0.0016421640757471323,0.001889412640593946,0.002148005645722151
return_15s,0.0013698345283046365,0.001491825096309185,0.0005410828161984682,0.0020765955559909344
delta_spread_15s,0.0006805206066928804,0.0,0.0020415617618709803,0.0
delta_obi5_30s,0.000158411668962799,0.0004752349923364818,0.0,0.0
delta_obi5_15s,0.0,0.0,0.0,0.0
delta_microprice_edge_15s,0.0,0.0,0.0,0.0
delta_microprice_edge_30s,0.0,0.0,0.0,0.0
return_60s,0.0,0.0,0.0,0.0
