feature,mean_f1_decrease,std_f1_decrease,base_macro_f1,rank
bid_distance_1_bps,-0.0012555368174592906,0.00014172571464313963,0.46987096525679634,51
log_bid_depth_8,-0.0012717707918255216,0.00024862312601464615,0.46987096525679634,52
obi5_std_300s,-0.0012936101008838464,0.0007237495046246757,0.46987096525679634,53
obi5_std_600s,-0.001311066884713419,0.0009692914572680749,0.46987096525679634,54
log_bid_depth_3,-0.0013196747888522653,0.0011560702283971251,0.46987096525679634,55
spread_change_lag_1,-0.0013810739833315267,0.001299504219051916,0.46987096525679634,56
return_1200s,-0.001438335186743811,0.0009561922080158993,0.46987096525679634,57
return_300s,-0.0014467097690321951,0.0010785084712750831,0.46987096525679634,58
obi_2,-0.0014634711857855476,0.0007009185606802264,0.46987096525679634,59
bid_distance_8_bps,-0.001510934905051109,0.0005785533262178257,0.46987096525679634,60
log_ask_depth_2,-0.0015255323321129444,0.0014097843923939193,0.46987096525679634,61
ask_concentration,-0.0018872290139514414,0.0005572276659494311,0.46987096525679634,62
obi5_change_lag_5,-0.001958016781494665,0.0008313295551054108,0.46987096525679634,63
spread_change_lag_2,-0.001962523984849529,0.0007472341654823861,0.46987096525679634,64
snapshot_ofi_proxy_l1,-0.00197664566860174,0.0007481788247822478,0.46987096525679634,65
bid_concentration,-0.002352602250368285,0.001180660601916373,0.46987096525679634,66
spread_std_600s,-0.0024028922152736555,0.0006341994104714327,0.46987096525679634,67
volatility_300s,-0.0024242821402979176,0.001275980287700731,0.46987096525679634,68
normalized_snapshot_ofi_600s,-0.002436968692977004,0.0011502907548872684,0.46987096525679634,69
volatility_600s,-0.0025439413712771476,0.001093068468937543,0.46987096525679634,70
snapshot_ofi_proxy_300s,-0.002697373589408536,0.0016317107043282888,0.46987096525679634,71
bid_distance_2_bps,-0.002895948110469859,0.001692621611603206,0.46987096525679634,72
volatility_120s,-0.00316409672389113,0.0040770926038257976,0.46987096525679634,73
bid_distance_5_bps,-0.003443309249644022,0.0016772123420326838,0.46987096525679634,74
snapshot_ofi_proxy_600s,-0.003679406636936533,0.0008465584167492307,0.46987096525679634,75
log_bid_depth_2,-0.0037052131422973477,0.0012502673287092,0.46987096525679634,76
volatility_1200s,-0.0038724815790370124,0.0019514783157135987,0.46987096525679634,77
normalized_snapshot_ofi_300s,-0.004069753651848573,0.002004197089821409,0.46987096525679634,78
obi_1,-0.005224232974833298,0.0017280464185054384,0.46987096525679634,79
bid_slope,-0.005497129701176018,0.0012103496985296706,0.46987096525679634,80
