feature,mean_abs_shap,mean_abs_shap_DOWN,mean_abs_shap_STABLE,mean_abs_shap_UP,family
ask_distance_8_bps,0.0020672520622611046,0.0015099961310625076,0.0016179360682144761,0.0030738243367522955,Static imbalance
spread_mean_600s,0.0019150691805407405,0.0015600277110934258,0.0030503440648317337,0.0011348355328664184,Dynamic liquidity
ask_distance_1_bps,0.0019131762674078345,0.0031215546187013388,0.0017839743522927165,0.0008339998894371092,Static imbalance
mid_return_lag_2,0.0019101015059277415,0.0016196912620216608,0.0024798172526061535,0.0016307957703247666,Price history
bid_depth_change_lag_1,0.0018810952315106988,0.0026081649120897055,0.0018668599659577012,0.0011682608164846897,Snapshot order-flow proxy
microprice_edge_change_lag_1,0.0018069468205794692,0.0009172909194603562,0.0027645134832710028,0.0017390359425917268,Dynamic imbalance
bid_distance_8_bps,0.0017636697739362717,0.002754994435235858,0.0016731112264096737,0.0008629040676169097,Static imbalance
spread_mean_300s,0.001639575231820345,0.0007671822677366436,0.002947204513475299,0.0012043388560414314,Dynamic liquidity
obi_5,0.0015335128409788013,0.0013945066602900624,0.0008486334118060768,0.0023573983926326036,Static imbalance
spread_change_lag_3,0.001497821998782456,0.0012580918846651912,0.0019271321361884475,0.0013082419754937291,Dynamic liquidity
obi5_change_lag_3,0.0014845080440863967,0.0021991131361573935,0.0013202594127506018,0.0009341515833511949,Dynamic imbalance
spread_change_lag_5,0.0014575013192370534,0.001991112483665347,0.0008488515159115195,0.0015325400745496154,Dynamic liquidity
return_120s,0.001361778937280178,0.0011318407487124205,0.0013069506967440248,0.001646545366384089,Price history
log_bid_depth_5,0.0013446534285321832,0.0022903759963810444,0.0011495302896946669,0.0005940542905591428,Static depth
log_bid_depth_8,0.0013392632827162743,0.002114861272275448,0.0008707402157597244,0.0010321881854906678,Static depth
dow_sin,0.0012433110969141126,0.0005369165446609259,0.0011020522797480226,0.002090964699164033,Time
microprice_edge_mean_300s,0.001093500293791294,0.0007852643611840904,0.0011847466230392456,0.0013104898389428854,Dynamic imbalance
microprice_edge_change_lag_5,0.0009947704384103417,0.0012723593972623348,0.0009341363329440355,0.000777815468609333,Dynamic imbalance
microprice_edge_change_lag_2,0.0009281638194806874,0.0009129015379585326,0.0007725561154074967,0.0010990339796990156,Dynamic imbalance
microprice_edge_change_lag_3,0.0008094597142189741,0.0011795052560046315,0.0006209861021488905,0.0006278877845034003,Dynamic imbalance
weighted_obi_mean_300s,0.0007232378120534122,0.000661756144836545,0.0008682300103828311,0.0006397272227331996,Dynamic imbalance
obi5_mean_300s,0.0006979255122132599,0.0007012558053247631,0.0004930495051667094,0.0008994712261483073,Dynamic imbalance
dow_cos,0.000654824951197952,0.0006702511454932392,0.0006515362183563411,0.0006426874315366149,Time
obi5_mean_600s,0.0006161598139442503,0.0007481244974769652,0.0007682578871026635,0.00033209711546078324,Dynamic imbalance
bid_distance_1_bps,0.0002160682197427377,0.0001510801666881889,0.0003871572553180158,0.00010996727360179648,Static imbalance
