segment,n_gaps,mean,median,std,min,max,p01,p05,p25,p75,p90,p95,p99,pct_above_10s,pct_above_30s,pct_above_60s,pct_above_120s,pct_above_300s,pct_above_600s
2026-01-18,1152,74.99472125000001,68.6488135,127.3336286046444,68.304775,4385.702746,68.32857634999999,68.34506205,68.391712,72.082666,77.1982942,81.11876895000002,87.4258829,100.0,100.0,100.0,0.1736111111111111,0.08680555555555555,0.08680555555555555
2026-01-19,1211,71.36257124442608,68.544707,60.14941229489243,68.29024,2160.227866,68.3229773,68.35195350000001,68.3986635,69.4330425,72.030626,74.565688,84.18633240000005,100.0,100.0,100.0,0.08257638315441783,0.08257638315441783,0.08257638315441783
2026-01-20,1224,70.57751378022876,68.593996,7.507675938787326,68.315569,186.088604,68.32523253000001,68.3509279,68.40219375000001,69.4831335,71.9502718,84.81885214999993,94.91061658,100.0,100.0,100.0,0.40849673202614384,0.0,0.0
2026-01-21,1245,69.4064001437751,68.555471,2.0119027498137716,68.27121,88.322496,68.32417716,68.34597000000001,68.394278,69.535229,71.5377292,73.0647114,77.92711443999998,100.0,100.0,100.0,0.0,0.0,0.0
2026-01-22,1246,69.33000503772071,68.44987,3.210075950436181,68.314853,149.105308,68.32389160000001,68.34556625,68.3923425,69.17901325,70.772087,72.20319724999999,81.87410054999998,100.0,100.0,100.0,0.08025682182985554,0.0,0.0
2026-01-23,1232,70.13488840503246,68.4185825,35.39818758994909,68.306139,1307.336019,68.32413233999999,68.34210805000001,68.380517,68.7446655,70.0168721,71.97493305,81.46045474000002,100.0,100.0,100.0,0.2435064935064935,0.08116883116883117,0.08116883116883117
2026-01-24,1239,69.73941788700566,68.438283,4.606891490471096,67.545392,156.570489,68.3249795,68.336698,68.3880235,68.968737,71.44669160000001,78.3750989,86.13210555999996,100.0,100.0,100.0,0.16142050040355124,0.0,0.0
2026-01-25,1091,79.19838341979835,78.453141,3.5052129680075965,78.300673,164.116812,78.33233770000001,78.35343950000001,78.3935545,78.76782349999999,79.817984,81.53402750000001,93.26210089999994,100.0,100.0,100.0,0.09165902841429881,0.0,0.0
2026-01-26,1204,71.77919241112957,68.736465,5.889629506720819,68.309586,149.156882,68.33598615000001,68.35975675,68.4138425,77.7438265,78.4365746,79.1213588,87.61060674,100.0,100.0,100.0,0.16611295681063123,0.0,0.0
2026-01-27,1241,69.59587839726028,68.438464,3.7736724624374016,68.307238,103.134948,68.334487,68.34897,68.394116,68.816668,70.535424,77.271426,87.488974,100.0,100.0,100.0,0.0,0.0,0.0
2026-01-28,1230,70.27280644796748,68.444745,8.251622243510601,68.31801,293.317771,68.33030074,68.34849224999999,68.3951855,69.04455875,73.34019040000001,80.98797824999998,88.43357408000001,100.0,100.0,100.0,0.24390243902439024,0.0,0.0
2026-01-29,1246,69.3080515,68.4206875,4.081573454415017,68.293988,176.045267,68.322563,68.34327250000001,68.38281674999999,68.56046525,69.78072399999999,74.6295215,84.1300859,100.0,100.0,100.0,0.08025682182985554,0.0,0.0
2026-01-30,1254,68.90140524880384,68.41516150000001,2.387479869161758,68.305827,103.374517,68.32790748000001,68.3390312,68.3820235,68.48343075,69.0637109,70.10600065,80.22211907000002,100.0,100.0,100.0,0.0,0.0,0.0
2026-01-31,1248,69.23794191907051,68.440984,3.221329910969515,68.317315,136.741131,68.3359332,68.35202650000001,68.3942115,68.710639,69.872889,72.73808174999998,85.37906813,100.0,100.0,100.0,0.08012820512820512,0.0,0.0
2026-02-01,1246,69.34432663162119,68.454672,2.3728346153521187,68.317735,93.225793,68.33527875,68.35202824999999,68.39864025,69.11706575,71.055042,73.52474175,80.30477055,100.0,100.0,100.0,0.0,0.0,0.0
2026-02-02,1250,69.1441677496,68.4587995,1.8044445613426918,68.30881,87.220988,68.33324452,68.3547723,68.40404625,69.05484225,70.47432780000001,72.299959,76.80880185999999,100.0,100.0,100.0,0.0,0.0,0.0
2026-02-03,825,104.66299729939395,68.637202,59.22640729530143,68.320019,728.493525,68.33349928,68.3542286,68.39862,188.817966,189.84878319999999,193.8411496,227.28714295999993,100.0,100.0,100.0,29.09090909090909,0.12121212121212122,0.12121212121212122
2026-02-04,462,186.88305324675324,189.0831945,13.447298510564861,148.404537,249.385434,148.75726353,149.15936235,188.87437275,189.48808499999998,190.266196,193.296292,228.99970377,100.0,100.0,100.0,100.0,0.0,0.0
2026-02-05,459,188.42069633551196,189.131735,12.759900742341395,148.78227,281.934159,148.86761458,149.5758926,188.90148299999998,189.76253400000002,191.3434138,204.0460925999999,229.05480058,100.0,100.0,100.0,100.0,0.0,0.0
2026-02-06,462,186.73487693073596,189.1796475,15.166853996877306,148.759946,238.348645,148.83887913,149.14800915,188.90404949999999,189.67724525,191.545094,208.74988929999998,230.14535773999998,100.0,100.0,100.0,100.0,0.0,0.0
2026-02-07,460,187.84723528260872,189.162459,13.227375249215855,148.749242,235.355771,148.81079854,149.518401,188.92721125,189.74314049999998,190.5868927,208.6156093,229.25520516999998,100.0,100.0,100.0,100.0,0.0,0.0
2026-02-08,467,185.32942601284793,189.066286,15.483617364870609,148.686748,231.403675,148.86195246,149.13988360000002,188.86442699999998,189.55917,190.25633340000002,193.3517924,229.3354665,100.0,100.0,100.0,100.0,0.0,0.0
2026-02-09,458,188.53550496288213,189.1938885,10.941235800286705,148.608496,239.78279,148.9103332,168.36383675000002,188.95369375,189.67200400000002,190.4135156,193.64885774999996,229.50542014,100.0,100.0,100.0,100.0,0.0,0.0
2026-02-10,465,185.68546869892475,189.170494,17.065903434203772,148.773717,236.923613,148.83205212000001,148.9943208,188.898141,189.786616,190.4698234,209.20954799999998,229.74036032,100.0,100.0,100.0,100.0,0.0,0.0
2026-02-11,468,184.6710040534188,188.9912115,19.667181921613956,148.710967,262.711689,148.80009124999998,148.911255,188.80617425000003,189.53954149999998,195.2392044000001,228.8506619,229.3170693,100.0,100.0,100.0,100.0,0.0,0.0
2026-02-12,459,188.36714872984751,189.116949,10.269641845994546,148.771943,230.783789,148.8944493,188.64319229999998,188.916792,189.555486,190.1701966,191.3828133,229.19234768,100.0,100.0,100.0,100.0,0.0,0.0
2026-02-13,462,187.03386777489177,189.03247449999998,14.719524354742736,148.759625,242.227823,148.84758499,149.2366394,188.84693399999998,189.502444,190.2823577,208.34054474999994,229.23650634,100.0,100.0,100.0,100.0,0.0,0.0
2026-02-14,501,172.21795239321358,188.730076,22.267774262806665,148.555376,256.701158,148.677899,148.750792,148.938987,189.041599,189.635353,192.125969,229.283081,100.0,100.0,100.0,100.0,0.0,0.0
2026-02-15,537,160.94153945437617,149.233946,19.216620387249105,148.552692,229.296298,148.65419164000002,148.7396426,148.866308,170.299997,189.2251966,189.67252,228.76841196,100.0,100.0,100.0,100.0,0.0,0.0
2026-02-16,527,164.1012656053131,149.734288,21.736626899064582,148.614093,272.384028,148.67239306,148.7414317,148.9269315,188.82147650000002,189.7390936,200.3926133,229.27147414,100.0,100.0,100.0,100.0,0.0,0.0
2026-02-17,525,164.3013790990476,149.466962,20.224056279302918,148.591289,232.850642,148.67591212,148.7336154,148.8881,188.881481,189.5376934,190.209545,228.99768724,100.0,100.0,100.0,100.0,0.0,0.0
2026-02-18,91,163.01206423076923,149.102657,18.69956574951751,148.584531,190.175965,148.6912863,148.72366849999997,148.8111375,188.838352,189.14173,189.413302,190.1156569,100.0,100.0,100.0,100.0,0.0,0.0
