feature,missing_pct,mean,std,min,p25,p50,p75,max
log_bid_depth_8,0.0,0.04714344056475085,0.06137370948207491,0.00020097980220645898,0.014756584073948904,0.027940016987248482,0.05499657875747755,0.8702224998839466
obi_1,0.0,-0.024405070922707533,0.6997330649604835,-0.9999948794993179,-0.7293972937486479,-0.014994232970018175,0.6693439031324352,0.9999907024698876
obi_2,0.0,-0.03408494079357431,0.639900764966184,-0.9998065256008098,-0.6365409620817487,-0.06471760796482158,0.5700718089946555,0.9999316789092805
obi_3,0.0,-0.044439054373801225,0.6100390861946847,-0.9993729752116339,-0.6087709174681643,-0.0748350658510257,0.5110832085521281,0.9999054634235371
obi_5,0.0,-0.06177192024703351,0.5732387960829135,-0.997940974567302,-0.577610027932237,-0.08928723132744502,0.43642611674475384,0.9997574669791316
obi_8,0.0,-0.09283857893059518,0.5261921653813488,-0.9924956505804511,-0.5460061308583488,-0.14500737615438605,0.34119060822974717,0.9989828092444429
weighted_obi,0.0,-0.06493380741530802,0.5479842212114596,-0.9966704107872987,-0.5385235726538355,-0.0951400354985007,0.3911248124084124,0.9994495053435904
microprice_edge_bps,0.0,0.019210437715222003,6.4867648856092615,-68.71641681259693,-2.167646122830601,-4.347529606291469e-06,2.0371578701706183,80.6941922962905
delta_obi5_5s,0.0025193359030559544,7.421128263131148e-06,0.4688398862085952,-1.9311074433844833,-0.15786616739793852,0.0,0.153442414944274,1.9654936975396802
delta_obi5_15s,0.0025193359030559544,7.421128263131148e-06,0.4688398862085952,-1.9311074433844833,-0.15786616739793852,0.0,0.153442414944274,1.9654936975396802
delta_obi5_30s,0.0025193359030559544,7.421128263131148e-06,0.4688398862085952,-1.9311074433844833,-0.15786616739793852,0.0,0.153442414944274,1.9654936975396802
delta_microprice_edge_5s,0.0025193359030559544,0.00015930299760482508,7.992236708321375,-92.66164805781032,-2.385678727903138,0.0,2.350634504268487,77.93524351020572
delta_microprice_edge_15s,0.0025193359030559544,0.00015930299760482508,7.992236708321375,-92.66164805781032,-2.385678727903138,0.0,2.350634504268487,77.93524351020572
delta_microprice_edge_30s,0.0025193359030559544,0.00015930299760482508,7.992236708321375,-92.66164805781032,-2.385678727903138,0.0,2.350634504268487,77.93524351020572
obi5_mean_120s,0.0,-0.0619373093579814,0.5384377468451975,-0.9952436507075404,-0.5227912368548844,-0.08047116418425657,0.379806342171267,0.9974760281529306
obi5_std_120s,18.91265462424105,0.19118967641357013,0.24229702168295478,0.0,0.01913896196370944,0.08790924166350864,0.273368958104835,1.389813921909729
